w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
210759601005060,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20211018
210759601005064,10,3,6,1,0,5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,3,1,3,7,3,0,0,0,0,0,0,0,0,0,0,20211018
210759602001004,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20211018
210759602001008,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602001011,15,1,8,6,10,4,1,4,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,14,1,0,0,0,0,15,0,3,4,6,1,10,5,0,0,0,0,0,0,0,0,0,0,20211018
210759602001027,5,1,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,0,1,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,20211018
210759602001030,8,0,5,3,0,2,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,3,0,5,0,5,3,0,0,0,0,0,0,0,0,0,0,20211018
210759602001033,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20211018
210759602001035,12,2,8,2,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,12,0,2,3,4,1,10,2,0,0,0,0,0,0,0,0,0,0,20211018
210759602001038,12,2,7,3,0,4,8,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,11,1,0,0,0,0,12,0,1,4,3,2,7,5,0,0,0,0,0,0,0,0,0,0,20211018
210759602001043,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602002027,3,0,1,2,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,20211018
210759602002033,4,0,2,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602002036,58,11,24,23,30,25,3,0,0,0,0,0,0,37,18,0,0,0,0,0,0,0,3,0,0,0,0,42,15,0,0,0,1,57,1,13,17,12,5,29,29,0,0,0,0,0,0,0,0,0,0,20211018
210759602002040,39,15,18,6,25,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,11,37,2,0,0,0,0,37,2,2,7,10,5,14,25,0,0,0,0,0,0,0,0,0,0,20211018
210759602002042,8,0,7,1,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,8,0,1,6,1,0,8,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602002054,36,6,16,14,4,18,14,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,2,0,0,0,2,32,4,0,0,0,0,36,0,4,11,10,5,12,24,0,0,0,0,0,0,0,0,0,0,20211018
210759602002056,14,3,11,0,9,4,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,14,0,5,3,2,1,1,13,0,0,0,0,0,0,0,0,0,0,20211018
210759602002057,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,3,0,0,0,0,5,0,0,2,3,0,1,4,0,0,0,0,0,0,0,0,0,0,20211018
210759602002064,7,2,4,1,2,2,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,2,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,20211018
210759602002065,117,12,77,28,28,27,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,103,13,0,0,0,1,117,0,10,21,37,37,20,97,0,0,0,0,0,0,0,0,0,0,20211018
210759602002072,5,1,2,2,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,0,20211018
210759602003000,25,7,14,4,5,10,10,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,10,22,0,0,0,0,3,25,0,5,5,5,3,17,8,0,0,0,0,0,0,0,0,0,0,20211018
210759602003003,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602003009,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20211018
210759602003014,3,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,20211018
210759602003032,44,8,31,5,0,8,36,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,0,0,0,44,0,7,17,8,4,38,6,0,0,0,0,0,0,0,0,0,0,20211018
210759602003035,8,1,3,4,0,5,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,8,0,1,1,4,1,2,6,0,0,0,0,0,0,0,0,0,0,20211018
210759602004018,4,3,0,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602004076,25,5,14,6,2,2,21,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,25,0,0,3,9,8,22,3,0,0,0,0,0,0,0,0,0,0,20211018
210759602004080,41,3,26,12,10,12,19,0,0,0,29,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,1,0,0,38,3,8,9,16,5,38,3,0,0,0,0,0,0,0,0,0,0,20211018
210759602004090,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602004092,160,18,97,45,18,79,63,0,0,0,0,51,0,0,0,0,4,0,0,0,0,0,0,0,0,0,105,127,31,2,0,0,0,156,4,14,60,45,23,103,57,0,0,0,0,0,0,0,0,0,0,20211018
210759602004097,6,3,2,1,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,2,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20211018
210759602004100,3,1,1,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,20211018
210759602004124,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601011000,4,0,4,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601011008,11,1,9,1,7,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,11,0,2,4,2,2,3,8,0,0,0,0,0,0,0,0,0,0,20211018
210779601011013,7,0,4,3,0,2,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,1,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,20211018
210779601011031,5,2,3,0,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,20211018
210779601011072,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601011090,7,1,3,3,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,0,0,7,0,0,3,2,1,2,5,0,0,0,0,0,0,0,0,0,0,20211018
210779601011115,20,4,11,5,5,8,7,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,2,0,0,17,3,1,5,7,3,11,9,0,0,0,0,0,0,0,0,0,0,20211018
210779601011131,6,0,4,2,4,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,1,4,1,0,4,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601012001,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,20211018
210779601012010,42,11,20,11,2,4,36,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,9,0,40,1,0,0,0,1,41,1,3,15,6,7,38,4,0,0,0,0,0,0,0,0,0,0,20211018
210779601012026,9,3,2,4,2,5,2,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,1,4,1,7,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601012033,3,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601012037,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,20211018
210779601012038,7,0,2,5,1,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,7,0,0,1,3,3,4,3,0,0,0,0,0,0,0,0,0,0,20211018
210779601012039,306,45,175,86,40,117,149,0,0,0,0,0,0,1,0,0,0,0,3,0,0,242,60,0,0,0,0,299,5,0,0,0,2,306,0,14,76,98,73,69,237,0,0,0,0,0,0,0,0,0,0,20211018
210779601012040,73,19,26,28,20,31,22,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,33,73,0,0,0,0,0,73,0,7,26,14,7,36,37,0,0,0,0,0,0,0,0,0,0,20211018
210779601012043,38,7,28,3,14,14,10,0,0,0,0,0,0,2,27,9,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,2,38,0,1,15,7,8,19,19,0,0,0,0,0,0,0,0,0,0,20211018
210779601012044,23,4,13,6,0,12,11,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,0,0,23,0,0,0,0,0,23,0,0,7,8,4,6,17,0,0,0,0,0,0,0,0,0,0,20211018
210779601012045,8,0,2,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,1,0,0,0,0,8,0,0,2,1,5,7,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601012072,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20211018
210779601012083,7,0,5,2,0,1,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,3,3,1,2,5,0,0,0,0,0,0,0,0,0,0,20211018
210779601012097,50,6,30,14,8,15,27,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,6,16,0,48,1,0,0,0,1,49,1,6,14,14,10,41,9,0,0,0,0,0,0,0,0,0,0,20211018
210779601012098,88,44,33,11,35,46,7,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,45,0,0,82,5,0,0,0,1,86,2,9,16,12,7,28,60,0,0,0,0,0,0,0,0,0,0,20211018
210779601012102,22,5,7,10,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,22,0,0,0,0,0,22,0,0,6,7,4,9,13,0,0,0,0,0,0,0,0,0,0,20211018
210779601012103,12,2,7,3,5,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,5,4,1,2,10,0,0,0,0,0,0,0,0,0,0,20211018
210779601012113,4,0,4,0,0,2,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601012139,5,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,1,0,0,0,0,5,0,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,20211018
210779601012177,84,14,51,19,3,20,61,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,2,84,0,7,27,19,17,69,15,0,0,0,0,0,0,0,0,0,0,20211018
210779601013007,11,1,7,3,3,5,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,5,3,11,0,0,0,0,0,11,0,2,4,4,0,5,6,0,0,0,0,0,0,0,0,0,0,20211018
210779601013008,34,17,11,6,21,12,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,24,0,0,32,0,0,0,0,2,33,1,1,11,5,0,8,26,0,0,0,0,0,0,0,0,0,0,20211018
210779601013009,15,0,8,7,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,15,0,0,7,2,6,13,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601013011,20,2,9,9,2,9,9,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,9,5,4,13,7,0,0,0,0,0,0,0,0,0,0,20211018
210779601013013,32,21,9,2,24,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,0,0,0,32,0,2,5,4,0,11,21,0,0,0,0,0,0,0,0,0,0,20211018
210779601013016,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,20211018
210779601013017,12,2,3,7,4,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,4,3,3,7,5,0,0,0,0,0,0,0,0,0,0,20211018
210779601013020,15,8,3,4,12,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,1,4,2,0,4,11,0,0,0,0,0,0,0,0,0,0,20211018
210779601013021,108,16,47,45,52,18,38,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,98,0,0,0,107,0,0,0,0,1,106,2,5,40,37,10,71,37,0,0,0,0,0,0,0,0,0,0,20211018
210779601013022,13,3,5,5,6,5,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,3,4,2,1,8,5,0,0,0,0,0,0,0,0,0,0,20211018
210779601013024,4,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,1,2,1,0,4,0,0,0,0,0,0,0,0,0,0,20211018
210779601013025,9,3,1,5,4,3,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,2,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,20211018
210779601013026,148,35,81,32,40,62,46,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,113,0,27,0,0,143,0,0,3,0,2,148,0,16,28,52,17,22,126,0,0,0,0,0,0,0,0,0,0,20211018
210779601013029,738,197,404,137,41,476,221,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,7,0,722,8,1,1,0,6,714,24,70,217,170,84,352,386,0,0,0,0,0,0,0,0,0,0,20211018
210779601013036,7,0,2,5,2,4,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,7,0,1,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,20211018
210779601013039,8,3,3,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,0,0,0,0,0,7,1,2,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,20211018
210779601013040,35,12,19,4,22,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,32,2,0,1,0,0,34,1,2,5,10,6,15,20,0,0,0,0,0,0,0,0,0,0,20211018
210779601013041,5,0,3,2,1,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,1,1,3,0,5,0,0,0,0,0,0,0,0,0,0,20211018
210779601013059,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601021000,3,0,1,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20211018
210779601021009,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601021012,11,1,5,5,7,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,1,0,0,11,0,3,3,3,1,4,7,0,0,0,0,0,0,0,0,0,0,20211018
210779601021016,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,20211018
210779601021022,8,1,4,3,4,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,3,0,4,0,7,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601021023,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20211018
210779601021026,5,0,1,4,1,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601021027,43,10,24,9,0,5,38,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,43,0,5,14,9,5,40,3,0,0,0,0,0,0,0,0,0,0,20211018
210779601021030,7,1,6,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,7,0,1,0,5,0,6,1,0,0,0,0,0,0,0,0,0,0,20211018
210779601021050,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20211018
